0.0,+4.14982360E-04
5.0,+4.15728865E-04
10.0,+4.15990142E-04
15.0,+4.16251419E-04
20.0,+4.15840841E-04
25.0,+4.16064793E-04
30.0,+4.16251419E-04
35.0,+4.16736648E-04
40.0,+4.16587347E-04
45.0,+4.16251419E-04
50.0,+2.49909418E+00
55.0,0.0,+4.13078771E-04
5.0,+2.50340811E-01
10.0,+5.00166512E-01
15.0,+7.48466951E-01
20.0,+9.98107871E-01
25.0,+1.24781887E+00
30.0,+1.49754934E+00
35.0,+1.74614057E+00
40.0,+1.99602587E+00
45.0,+2.24827594E+00
50.0,+2.49552691E+00
55.0,+2.74396571E+00
60.0,+2.99374925E+00
65.0,+3.24358508E+00
70.0,+3.49329764E+00
75.0,+3.74183357E+00
80.0,+3.99166566E+00
85.0,+4.24147161E+00
90.0,+4.49104223E+00
95.0,+4.73951466E+00
100.0,+4.98941025E+00
